custom_id,pilot_row_id,category,explanation_id,candidate_index,candidate_rank_by_market_error,num_candidates_for_prompt,is_best_candidate,is_recommended_candidate,is_positive_improvement,schema_valid,market_delta,explanation_delta,posterior,posterior_error_to_market,improvement_vs_persistence,delta_error,direction_match,selected_evidence_count,evidence_weights_count,confidence,has_evidence_irrelevance,selected_with_irrelevance,top_posterior_selected,top_prior_selected,posterior_top_k_selected,prior_top_k_selected,random_candidate_selected,magnitude,class_source_credibility,class_base_rate_calibration,class_resolution_rule,class_causal_chain,class_direct_resolution,class_trend_continuation,class_overreaction_correction,class_underreaction_correction,class_evidence_irrelevance,class_market_microstructure,class_other,magnitude_none,magnitude_small,magnitude_moderate,magnitude_large,dataset,confidence_raw,confidence_out_of_bounds,prior,market_after,abs_market_delta,abs_explanation_delta,market_direction,candidate_direction,market_move_bin,valid_candidate_count_bin,selector,_metric,confidence_z,posterior_z,abs_explanation_delta_z,selected_evidence_count_z,evidence_weights_count_z,selector_score
gemma4_26b_grounded_nonnull_train_batch001_fullnews_bounded_ensemble5_20260629__kalshi_train_0165__mixed_blind__neutral_forecaster__s00,kalshi_train_0165,Politics,E1,0,1,3,True,True,True,True,0.737,0.0514,0.12,0.6856,0.0514,0.6856,True,1.0,1.0,0.8,False,False,False,True,False,True,False,moderate,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,train_all_batches,0.8,False,0.0686,0.8056,0.737,0.0514,up,up,large,3,gemma_recommended,,,,,,,
gemma4_26b_grounded_nonnull_train_batch001_fullnews_bounded_ensemble5_20260629__kalshi_train_0165__mixed_blind__neutral_forecaster__s00,kalshi_train_0165,Politics,E1,0,1,3,True,True,True,True,0.737,0.0514,0.12,0.6856,0.0514,0.6856,True,1.0,1.0,0.8,False,False,False,True,False,True,False,moderate,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,train_all_batches,0.8,False,0.0686,0.8056,0.737,0.0514,up,up,large,3,first_candidate,,,,,,,
gemma4_26b_grounded_nonnull_train_batch001_fullnews_bounded_ensemble5_20260629__kalshi_train_0165__mixed_blind__neutral_forecaster__s00,kalshi_train_0165,Politics,E1,0,1,3,True,True,True,True,0.737,0.0514,0.12,0.6856,0.0514,0.6856,True,1.0,1.0,0.8,False,False,False,True,False,True,False,moderate,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,train_all_batches,0.8,False,0.0686,0.8056,0.737,0.0514,up,up,large,3,max_confidence,,,,,,,
gemma4_26b_grounded_nonnull_train_batch001_fullnews_bounded_ensemble5_20260629__kalshi_train_0165__mixed_blind__neutral_forecaster__s00,kalshi_train_0165,Politics,E1,0,1,3,True,True,True,True,0.737,0.0514,0.12,0.6856,0.0514,0.6856,True,1.0,1.0,0.8,False,False,False,True,False,True,False,moderate,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,train_all_batches,0.8,False,0.0686,0.8056,0.737,0.0514,up,up,large,3,max_posterior,,,,,,,
gemma4_26b_grounded_nonnull_train_batch001_fullnews_bounded_ensemble5_20260629__kalshi_train_0165__mixed_blind__neutral_forecaster__s00,kalshi_train_0165,Politics,E3,2,3,3,False,False,True,True,0.737,0.0114,0.08,0.7256,0.0113999999999999,0.7256,True,1.0,1.0,0.7,False,False,True,False,True,True,False,small,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,train_all_batches,0.7,False,0.0686,0.8056,0.737,0.0114,up,up,large,3,min_posterior,,,,,,,
gemma4_26b_grounded_nonnull_train_batch001_fullnews_bounded_ensemble5_20260629__kalshi_train_0165__mixed_blind__neutral_forecaster__s00,kalshi_train_0165,Politics,E1,0,1,3,True,True,True,True,0.737,0.0514,0.12,0.6856,0.0514,0.6856,True,1.0,1.0,0.8,False,False,False,True,False,True,False,moderate,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,train_all_batches,0.8,False,0.0686,0.8056,0.737,0.0514,up,up,large,3,max_abs_update,0.0514,,,,,,
gemma4_26b_grounded_nonnull_train_batch001_fullnews_bounded_ensemble5_20260629__kalshi_train_0165__mixed_blind__neutral_forecaster__s00,kalshi_train_0165,Politics,E3,2,3,3,False,False,True,True,0.737,0.0114,0.08,0.7256,0.0113999999999999,0.7256,True,1.0,1.0,0.7,False,False,True,False,True,True,False,small,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,train_all_batches,0.7,False,0.0686,0.8056,0.737,0.0114,up,up,large,3,min_abs_update,0.0114,,,,,,
gemma4_26b_grounded_nonnull_train_batch001_fullnews_bounded_ensemble5_20260629__kalshi_train_0165__mixed_blind__neutral_forecaster__s00,kalshi_train_0165,Politics,E1,0,1,3,True,True,True,True,0.737,0.0514,0.12,0.6856,0.0514,0.6856,True,1.0,1.0,0.8,False,False,False,True,False,True,False,moderate,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,train_all_batches,0.8,False,0.0686,0.8056,0.737,0.0514,up,up,large,3,max_positive_update,,,,,,,
gemma4_26b_grounded_nonnull_train_batch001_fullnews_bounded_ensemble5_20260629__kalshi_train_0165__mixed_blind__neutral_forecaster__s00,kalshi_train_0165,Politics,E3,2,3,3,False,False,True,True,0.737,0.0114,0.08,0.7256,0.0113999999999999,0.7256,True,1.0,1.0,0.7,False,False,True,False,True,True,False,small,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,train_all_batches,0.7,False,0.0686,0.8056,0.737,0.0114,up,up,large,3,max_negative_update,,,,,,,
gemma4_26b_grounded_nonnull_train_batch001_fullnews_bounded_ensemble5_20260629__kalshi_train_0165__mixed_blind__neutral_forecaster__s00,kalshi_train_0165,Politics,E1,0,1,3,True,True,True,True,0.737,0.0514,0.12,0.6856,0.0514,0.6856,True,1.0,1.0,0.8,False,False,False,True,False,True,False,moderate,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,train_all_batches,0.8,False,0.0686,0.8056,0.737,0.0514,up,up,large,3,max_selected_evidence_count,,,,,,,
